Name,Website,text
MSSPC,W11,"Tennis elbow can be caused by repetition motion, especially twisting motion. What people don't know, is that many different activities besides tennis can lead to it. Up to 3% of Americans (around 9.7 million people) suffer from tennis elbow every year. But only around 5% of tennis elbow cases are caused by tennis.

Lateral epicondylitis, a.k.a tennis elbow can caused by repetition motion, especially twisting motion. What people don’t know, is that many different activities besides tennis can lead to it.

Let’s look at some of the often overlooked, non-tennis-related causes of tennis elbow.

1. Typing

The first thing people think of when they hear “typing” and “pain” together is carpal tunnel syndrome. But people that work at computers all day are also at risk for developing tennis elbow.

These daily, often continual wrist and finger movements activate the forearm muscles. Repetitive use can lead to tennis elbow.

One way of avoiding injury is by keeping your wrist in as close to a neutral position as possible.

Bending the wrist is often where injury comes into play. Purchasing an ergonomic keyboard and mouse could also be worthwhile. Our wrists are often kept in unnatural positions for hours on end, while doing computer work. Ergonomic equipment can help with easing this strain.

2. Painting

Whether you paint for a living or do it as a hobby on the weekends, you’re at risk for tennis elbow.

Using a paint brush and roller involves repetitive strain. There’s also a lot of twisting and bending involved in painting. Those two ingredients are a recipe for tennis elbow.

Make sure that you stretch your wrists and arms before painting to warm them up. Take breaks throughout the day. These should lessen your risk.

3. Automotive work

Wrench. Ratchet. Torque. These all happen while you’re working on cars. And they all sound painful.

Let’s look at the causes of tennis elbow again. Repetitive? Yes. Twisting and bending? Check. Auto mechanics can be at risk for tennis elbow. If you work on cars for a living, you may be at higher risk than a hobbyist.

In this case, using the right tools can keep pain away. Power tools are easier on your arm than hand tools, though using any tool repeatedly may also lead to tennis elbow.  Along with stretching before work, using different tools may lessen a mechanic’s risk.

4. Carpentry

Sawing back and hammering over and over may put carpenters at risk for tennis elbow. Carpenters may have to keep their hands and wrists in strained positions for long period of time.

Here again, tools can make a difference. But also pay attention to your technique. When your job involves repetitive motion, try to make smooth controlled movements. Being herky-jerky with your arms may increase your risk for tennis elbow.

5. Weightlifting

Repetition. It’s in the very nature of weightlifting. Exercises like curls, done with heavy weights, can lead to tennis elbow.

Some exercises can cause more pain than others. If you’re suffering from tennis elbow in the weight room, consider the following advice from Livestrong:

Take a break from lifting
Do less dumbbell exercises
Focus on lower weights and higher reps
6. Golf
If you’re a golfer, you’ve probably heard of golfer’s elbow. But according to Golf Fitness Magazine, most golfers suffer more from tennis elbow than golfer’s elbow.

The golf swing involves a lot of force on the wrists. And that strain is very repetitive. That’s why golfers, especially older golfers, run into tendon problems.

If you’re a golfer suffering from tennis or golfer’s elbow, start with rest. Try anti-inflammatory medication, and make sure that you’re getting warmed up before playing.

7. Baseball
Baseball is a sport well-known for the stress it puts on arms. That’s especially true for pitchers. While you might hear about “Tommy John surgery,” in the news, many pitchers suffer from tennis elbow.

Pitchers put tremendous strain on their arm when they throw a baseball.

If you’re a baseball player, you can avoid tennis elbow by stretching your arm before throwing. Don’t overuse your arm by throwing too much."
Medline Plus,W12,"Tennis elbow is soreness or pain on the outside (lateral) side of the upper arm near the elbow. Causes
The part of the muscle that attaches to a bone is called a tendon. Some of the muscles in your forearm attach to the bone on the outside of your elbow.

When you use these muscles over and over again, small tears develop in the tendon. Over time, the tendon cannot heal, and this leads to irritation and pain where the tendon is attached to the bone.

This injury is common in people who play a lot of tennis or other racket sports, hence the name ""tennis elbow."" Backhand is the most common stroke to cause symptoms.

But any activity that involves repetitive twisting of the wrist (like using a screwdriver) can lead to this condition. Painters, plumbers, construction workers, cooks, and butchers are all more likely to develop tennis elbow.

This condition may also be due to repetitive typing on the computer keyboard and mouse use.

People between 35 to 54 years old are commonly affected.

Sometimes, there is no known cause of tennis elbow."
NIH,W13,"Lateral epicondylitis, also commonly referred to as tennis elbow, describes an overuse injury secondary to an eccentric overload of the common extensor tendon at the origin of the extensor carpi radialis brevis (ECRB) tendon. Tennis elbow primarily results from the repetitive strain caused by activities that involve loaded and repeated gripping and/or wrist extension. It is common in individuals who play tennis, squash, badminton, or any activity involving repetitive wrist extension, radial deviation, and/or forearm supination.

Tennis elbow is often an overuse injury primarily due to repetitive strain from tasks and activities that involve loaded and repeated gripping and/or wrist extension. It historically occurs in tennis players but can result from any sports that require repetitive wrist extension, radial deviation, and/or forearm supination. It is also seen in athletes who play squash and badminton, and other sports or activities that require similar movements. This condition is often precipitated by poor mechanics and technique or improper equipment in the athletic patient population."
Cedars Sinai,W14,"Tennis elbow (lateral epicondylitis) is swelling of the tendons that bend your wrist backward away from your palm.

A tendon is a tough cord of tissue that connects muscles to bones. The tendon most likely involved in tennis elbow is called the exterior carpi radialis brevis. Tennis elbow is usually diagnosed in both men and women between ages 30 to 50.

Tennis elbow, as the name implies, is often caused by the force of the tennis racket hitting balls in the backhand position. Your forearm muscles, which attach to the outside of your elbow, may become sore from excessive strain. When making a backhand stroke in tennis, the tendons that roll over the end of our elbow can become damaged. Tennis elbow may be caused by:

Incorrect backhand stroke
Weak shoulder and wrist muscles
Using a tennis racket that is too tightly strung or too short
Other racquet sports, like racquetball or squash
Hitting the ball off center on the racket, or hitting heavy, wet balls
However, many people who suffer from tennis elbow don't play tennis. The problem can be caused by any repetitive movement. Other causes of tennis elbow include:

Painting with a brush or roller
Working a chain saw
Frequent use of other hand tools on a regular basis
Using repeated hand motions in various types of work, such as butchers, musicians, dentists, auto workers, and carpenters"
Healthline,W15,"Tennis elbow, or lateral epicondylitis, is a painful inflammation of the elbow joint caused by repetitive stress (overuse). The pain is located on the outside (lateral side) of the elbow, but may radiate down the back of your forearm. You’ll likely feel the pain when you straighten or fully extend your arm.

The tendon is the part of a muscle that attaches to the bone. Forearm tendons attach the forearm muscles to the outer bone of the elbow. Tennis elbow often occurs when a specific muscle in the forearm — the extensor carpi radialis brevis (ECRB) muscle — is damaged. The ECRB helps raise (extend) the wrist.

Repetitive stress weakens the ECRB muscle, causing extremely tiny tears in the muscle’s tendon at the point where it attaches to the outside of the elbow. These tears lead to inflammation and pain.

Tennis elbow can be triggered by any activity that involves repetitive twisting of the wrist. These activities may include:

tennis and other racquet sports
swimming
golfing
turning a key
frequently using a screwdriver, hammer, or computer"
The Center,W16,"Tennis elbow, or lateral epicondylitis, is an inflammation of the tendons that join the forearm muscles on the outside of the elbow. Racket sports like tennis and pickleball tend to be a major cause for this injury and elbow pain, but any heavy use of the elbow with repetitive gripping and lifting can be a cause of this condition. It is a common work-related injury for plumbers, painters, carpenters, mechanics, and butchers. Generally, lateral epicondylitis develops gradually, but at times can occur acutely from an injury.

CAUSES
Extended use in activity
Wear and tear of overuse
Improper equipment in sports like tennis"
Orthopedic Institute of Pennsylvania,W17,"Tennis elbow, also known as lateral epicondylitis, is a common overuse injury resulting from repetitive motion involving the tendons in your elbow. These tendons, the extensor carpi radialis brevis and extensor digitorum communis of the forearm, extend and stabilize the wrist as they anchor your muscles to your bones. When the attachment site weakens, you start to experience pain and tenderness while engaged in everyday activities involving gripping, grasping or lifting.

The first documented reference to tennis elbow was published in 1883, noting that frequent tennis players presented with pain in and around the elbow area of their racquet arm. Subsequent studies observed that using inappropriately matched equipment for one’s body size and muscle strength, gripping the racket too hard, hitting the ball off center and using poor technique on ground strokes increased the likelihood of tennis elbow pain.

Tennis elbow is most common in people ages 30 to 50, although the condition can be seen in people of all ages. Depending upon their activity level, children and senior citizens can be diagnosed with tennis elbow as well. There is no gender-related component to tennis elbow, and men and women are equally likely to be diagnosed with the condition.

Overuse is the most common cause of tennis elbow pain. When you frequently engage in activities that place stress on the tendon attachments and the muscle-tendon unit, microscopic tears form in the tendon where it is attached to the bone. These tears lead to the inflammation and pain associated with tennis elbow. Typically, overuse is defined as a high activity level three or more times per week with activity lasting 30 minutes or more per session. A poor overall fitness level can exacerbate the problems caused by overuse of the forearm and elbow area.

Tennis elbow pain can sometimes be linked to specific injuries or traumas. If you suffer a direct blow to the elbow, this could result in the swelling of the tendon and subsequent degeneration. When seeking treatment for your condition, it is important to inform your doctor of any injury or trauma that could be linked to the development of tennis elbow.

Finally, as with many medical conditions, genetics play a role in the development of tennis elbow. Some people are born with tendons that are naturally less durable, which makes them prone to developing the condition at an earlier age or in conjunction with pain in the shoulders and feet."
UConn,W18,"
The elbow joint is made up of the bone in the upper arm (the humerus) and one of the bones in the lower arm (ulna). The bony prominences, or bumps, at the bottom of the humerus are called the epicondyles. The bump on the outer side of the elbow is called the lateral epicondyle.

Lateral epicondylitis is a condition that causes pain and tenderness at the prominence on the outer part of the elbow. The condition occurs as a result of overusing the forearm muscles that straighten and raise the hand and wrist. When tendinopathy, or fiber microtearing, occurs at the muscle origins at their point of attachment, the lateral epicondyle. Small tears in the tendon tissue can occur, and the muscles may strain and irritate their attachment at the bone. These muscles act to extend the wrist and allow lifting.

Causes
Despite the common name for lateral epicondylitis, tennis elbow, the condition can be caused by other activities besides playing racquet sports. Many commonplace activities can strain the tendons. Basically, any activity that twists and extends the wrist can lead to lateral epicondylitis. Rarely, a direct blow to the outside of the elbow can also lead to the condition."
CCOHS,W19,"
Tennis elbow is the common term for a painful elbow disorder.

The technical name for tennis elbow is ""lateral epicondylitis"". This term refers to an inflammation that is occurring near a small point or projection of the upper arm bone (humerus) just above the elbow joint on the outer side of the arm. However, pain can also occur in the forearm and wrist.

The pain from tennis elbow comes mainly from injured or damaged tendons near the elbow. Tendons are strong bands of tissue that connect muscles to bones. When repeatedly stressed or overused, tendons can become inflamed and degenerate. This results in a painful condition called tendinopathy, the medical term for disorder of a tendon. Tennis elbow is simply a specific type of tendinopathy that occurs in a particular part of the elbow.

Damaged tendons can occur on either side of the elbow. When it happens on the outside of the elbow, which is most common, it is called tennis elbow. When it happens on the inside, it is called ""medial epicondylitis"" or ""golfer's elbow.""

The development of tennis elbow is associated with repeated contraction of the forearm muscles. These muscles control hand and wrist movements. They are attached to tendons that connect them to only two small points of bone just above the elbow, one on the outer side, the other on the inner side.

Muscles connected to the outer side of the elbow (extensors) are responsible for:

straightening the fingers,
bending the wrist upwards, and
rolling the forearm into a palms-up position.
Muscles connected to the inner side of the elbow (flexors) are responsible for:

bending the fingers,
bending the wrist downwards, and
rolling the forearm into a palms-down position.
There are weak points in the way tendons connect these muscles to the bone above the elbow. The points where the tendons attach are sometimes too small to handle the strong force of the powerful muscles. These tendons can get overloaded when the hand and forearm are used in strong, jerky movements such as gripping, lifting, or throwing.

Tendons do not stretch when pulled. They are rope-like structures made of strong, smooth, shiny fibres. Strong forces or sudden impacts, however, can eventually tear their fibers apart in much the same way a rope becomes frayed. This type of injury is called a strain, and usually results in formation of scar tissue. Over time, strained tendons become thickened, bumpy, and irregular. Without rest and time for the tissue to heal, strained tendons can become permanently weakened."
HSE,W20,"Tennis elbow is a condition that causes pain around the outside of the elbow.

It's also known as lateral epicondylitis.

It often happens after overuse or repeated action of the muscles of the forearm, near the elbow joint.

You may notice pain on the outside of the elbow.

The pain may travel down the forearm when:

lifting or bending your arm
when gripping small objects, such as a pen
when twisting your forearm, such as turning a door handle or opening a jar
It may be difficult to fully extend your arm.

Tennis elbow is usually caused by overusing the muscles attached to your elbow that are used to straighten your wrist. If the muscles are strained, tiny tears and inflammation can develop near the bony lump on the outside of your elbow.

Tennis elbow is sometimes caused by playing tennis. But any activity that puts repeated stress on the elbow joint can cause it.

Pain that occurs on the inner side of the elbow is known as golfer's elbow."
Healthdirect,W21,"If you have pain on the outside of your elbow, you may have tennis elbow.

Tennis elbow is when there is a tear or swelling in the tendons that attach the muscle of the forearm to the bone in the upper arm. It is caused by repeated use of the muscles around the elbow.

If you stop doing whatever has caused the injury, tennis elbow usually gets better without treatment, but recovery can be slow, taking anything from a few months to 2 years.

You can get tennis elbow pain from playing tennis or from using your wrist and forearm a lot in other activities such as gardening, painting and other racquet sports.

You may also get tennis elbow if your work involves repeated movements of the wrist and forearm such as butchery, carpentry and plumbing.

Repetitive use of a computer keyboard or mouse is another possible cause."
UCSF,W22,"Tennis elbow, also called lateral epicondylitis, is a common condition involving the muscles and tendons of the outer forearm, just below the elbow. A tendon is a tough band of tissue that connects muscle to bone. The tendons involved in tennis elbow attach the extensor muscles of the forearm to the prominent outer part of the elbow bone, called the lateral epicondyle. Repeated contraction of the forearm extensor muscles – used when extending the wrist (pulling the hand back, as in the hand signal to stop traffic) and with gripping or twisting movements – can lead to tiny tears in the tendon that cause pain at the lateral elbow. Pain may spread into the forearm and wrist. Despite the name, tennis elbow affects many people who never play tennis.

The exact tendon most commonly involved in tennis elbow connects to a muscle called the extensor carpi radialis brevis. This muscle becomes overused with repetitive arm and wrist movements, such as in painting; using hand tools, such as screwdrivers and hammers; or from long hours of manipulating a computer mouse. In racket sports like tennis, the tendon is overstressed when a player uses an improper grip or backhand technique."
Columbia,W23,"Lateral epicondylitis, also known as tennis elbow, is characterized by pain on the outside (lateral side) of the elbow. The pain is caused by damage to the tendons that bend the wrist backward away from the palm. A tendon is a tough cord of tissue that connects muscles to bones. The tendon most likely involved in tennis elbow is called the extensor carpi radialis brevis, and this condition is usually diagnosed in both men and women between the ages of 30 years to 50 years.

Tennis elbow, as the name implies, often is caused by the force of the tennis racket hitting balls in the backhand position. The forearm muscles, which attach to the outside of the elbow, may become sore from excessive strain. When making a backhand stroke in tennis, the tendons that roll over the end of the elbow can become damaged. Tennis elbow may be caused by the following:

Improper backhand stroke

Weak shoulder and wrist muscles

Using a racket that is too tightly strung or too short, such as one that is meant for racquetball or squash

Hitting the ball off center on the racket or hitting heavy, wet balls

?However, many people who suffer from lateral epicondylitis do not play tennis. The condition is caused by any repetitive movement. Other causes of tennis elbow include:

Painting with a brush or roller

Operating a chain saw

Frequent use of other hand tools on a continuous basis

Using repeated hand motions in various professions, such as meat cutters, musicians, dentists, and carpenters"
UPenn,W24,"Tennis elbow is a condition in which there is inflammation of the tendons (tendinitis) attached to the outside, or lateral side, of the elbow at a bony prominence of the upper arm bone (humerus). Tennis elbow is caused by overuse of the arm, forearm and hand muscles which results in elbow pain. The pain primarily occurs where the forearm tendons attach to the outside of the elbow and can spread into the forearm and wrist. Although common for athletes, it also occurs frequently in individuals with jobs that require repetitive motion such as plumbers, carpenters and butchers."
DrBesh,W25,"Tennis elbow or lateral epicondylitis is tendinitis of the outside of the elbow joint due to repetitive arm and wrist movement. It is an overuse muscle strain injury that occurs after the repeated contraction of the forearm muscles that you use to straighten and raise your hand and wrist. Consequently, the repetitive overuse of these muscles causes inflammation of the tendons, the connective tissue between the muscle and the bone, resulting in an overuse injury. 

Tennis elbow is mainly caused by repetitive use during tennis or any other activity that uses the hand or wrist muscles. These muscles share a common tendon that is connected to the portion of the elbow bone known as the lateral epicondyle. Tiny tears happen over time and with age, and the body has a more difficult time repairing itself which leads to symptoms of tennis elbow.

There are many activities that can cause this damage, such as

Sporting activities, including tennis and racquet sports.
Repetitive computer mouse use. 
Cutting up cooking ingredients, especially meat.  
Repetitive use of the forearm or repeated twisting of the wrist. 
Most often, the patient’s dominant arm is affected.  "
Wikipedia,W26,"Tennis elbow, also known as lateral epicondylitis or enthesopathy of the extensor carpi radialis origin, is an enthesopathy (attachment point disease) of the origin of the extensor carpi radialis brevis on the lateral epicondyle. The outer part of the elbow becomes painful and tender. The pain may also extend into the back of the forearm. Onset of symptoms is generally gradual although they can seem sudden and be misinterpreted as an injury. Golfer's elbow is a similar condition that affects the inside of the elbow.

Enthesopathies are idiopathic, meaning science has not yet determined the cause. Enthesopathies are most common in middle age (ages 35 to 60).

It is often stated that the condition is caused by excessive use of the muscles of the back of the forearm, but this is not supported by experimental evidence and is a common misinterpretation or unhelpful thought about symptoms. It may be associated with work or sports, classically racquet sports, but most people with the condition are not exposed to these activities.

Enthesopathy of the extensor carpi radialis brevis origin is idiopathic, meaning that it has no known cause.

Traditionally, people have speculated that tennis elbow is a type of repetitive strain injury resulting from tendon overuse and failed healing of the tendon, but there is no evidence of injury or repair on histopathology, and misinterpretation of painful activities as a source of damage is common.

Other speculative risk factors for lateral epicondylitis include taking up tennis later in life, unaccustomed strenuous activity, decreased mental chronometry and speed and repetitive eccentric contraction of muscle (controlled lengthening of a muscle group)"
Dignity Health,W27,"Tennis elbow, also called lateral epicondylitis, affects the elbow and forearm. It is so named because repetitive movements of the forearm — like hitting a tennis ball with a racket — can cause pain and swelling in the tendons and ligaments.

The most common cause of tennis elbow is inflammation, or swelling, in the tendons and ligaments that surround your elbow joint.

Tennis elbow can also come from damage to the muscles in the forearm, especially in the area where they attach to the upper arm bone on the outside of the elbow.

Tennis elbow often develops from forceful, repetitive motion of the forearm.

Very rarely, tennis elbow may develop without this kind of injury or repetitive motion. This kind of tennis elbow has no known cause."
